type de site;nom_key;nom_fr;nom_en;description_fr;description_en;date début;date fin;coordonnees_bbox;surface;altitude;climat;geologie;dir_vent_fr;dir_vent_en;pays_fr;pays_en;parent
Station;pz9;Piézomètre 9;Piezometer 9;Piézomètre 9;Piezometer 9;04/07/2013;;[1.42557,42.80287];;1344;Mountain climate;Quartenary soils;;;France;France;bdz
Station;pz10;Piézomètre 10;Piezometer 10;Piézomètre 10;Piezometer 10;26/07/2013;;[1.42388,42.80324];;1347;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch1;Embase 1;Base 1;Embase 1 pour chambre CO2 et CH4;Base 1 for chamber CO2 and CH4;01/06/2016;;[1.42358,42.80185];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch2;Embase 2;Base 2;Embase 2 pour chambre CO2 et CH4;Base 2 for chamber CO2 and CH4;01/06/2016;;[1.423,42.80196];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch3;Embase 3;Base 3;Embase 3 pour chambre CO2 et CH4;Base 3 for chamber CO2 and CH4;01/06/2016;;[1.42266,42.8021];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch4;Embase 4;Base 4;Embase 4 pour chambre CO2 et CH4;Base 4 for chamber CO2 and CH4;01/06/2016;;[1.42323,42.80243];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch5;Embase 5;Base 5;Embase 5 pour chambre CO2 et CH4;Base 5 for chamber CO2 and CH4;01/06/2016;;[1.42289,42.80278];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch6;Embase 6;Base 6;Embase 6 pour chambre CO2 et CH4;Base 6 for chamber CO2 and CH4;01/06/2016;;[1.424,42.80266];;1344;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch7;Embase 7;Base 7;Embase 7 pour chambre CO2 et CH4;Base 7 for chamber CO2 and CH4;01/06/2016;;[1.42432,42.80295];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch8;Embase 8;Base 8;Embase 8 pour chambre CO2 et CH4;Base 8 for chamber CO2 and CH4;01/06/2016;;[1.42481,42.80246];;1345;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch9;Embase 9;Base 9;Embase 9 pour chambre CO2 et CH4;Base 9 for chamber CO2 and CH4;01/06/2016;;[1.42557,42.80287];;1344;Mountain climate;Quartenary soils;;;France;France;bdz
Station;ch10;Embase 10;Base 10;Embase 10 pour chambre CO2 et CH4;Base 10 for chamber CO2 and CH4;01/06/2016;;[1.42388,42.80324];;1347;Mountain climate;Quartenary soils;;;France;France;bdz
Station;sm_exutoire;Station multiparamètre;Multiparameter station;Station multiparamètre à l'exutoire;Multiparameter station at the outlet;10/12/2018;;[2.27771390,47.3205716];23;152;Continental climate;Quartenary soils;;;France;France;lgt

