nom_key;nom_fr;nom_en;valeur_key;valeur_fr;valeur_en
responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;project_leader;Chef de projet;Project leader
responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;data_manager;Responsable des données;Data manager
responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;responsabilite_gestionnairejeu;principal_investigator;Responsable de site;Principal investigator

