Nom du Site-Thème-Type de données-Variable;Code_jeu;Code de la méthode de calcul;Date de début;Date de fin
lgt/bm2-meteosol-meteosol_infraj-G_2_1_1;lgt-meteosol-meteosol;G_ICOS;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-G_2_1_2;lgt-meteosol-meteosol;G_ICOS;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-G_2_1_1;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm2-meteosol-meteosol_infraj-G_2_1_2;lgt-meteosol-meteosol;lgt_control_meteosol;30/09/2017;
lgt/bm1-meteosol-meteosol_infraj-G_1_1_1;lgt-meteosol-meteosol;G_ICOS;03/02/2016;
lgt/bm1-meteosol-meteosol_infraj-G_1_1_2;lgt-meteosol-meteosol;G_ICOS;03/02/2016;
