site;bdz;bm1;;;;;;;;;;;;;;;;;
theme;meteosol;;;;;;;;;;;;;;;;;;
frequence;semi-horaire;;;;;;;;;;;;;;;;;;
date de debut;31/12/2018;;;;;;;;;;;;;;;;;;
date de fin;31/12/2018;;;;;;;;;;;;;;;;;;
commentaire;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
date;time;P_1_1_1;TA_1_1_1;TS_1_1_1;TS_1_1_2;TS_1_2_1;TS_1_2_2;TS_1_3_1;TS_1_3_2;TS_1_4_1;TS_1_5_1;G_ISCAL_1_1_1;G_1_1_1;G_1_1_2;G_ISCAL_1_1_2;PA_1_1_1;RH_1_1_1;WS_1_1_1;WD_1_1_1
31/12/2018;11:30;0.0;4.5773115;5.1776233;5.0013437;4.883791;4.9264493;4.7619386;4.8707976;4.896057;6.5434437;0;1.1737059;-0.06912328;0;1018.6829;99.890144;0.41866666;182
31/12/2018;12:00;0.0;4.9135256;5.421648;5.2308025;5.0234966;5.17121;4.774185;4.9599376;4.896057;6.5445457;0;1.6818281;0.29743862;0;1018.4857;99.90656;0.48433334;251
31/12/2018;12:30;0.0;5.2671943;5.627594;5.477475;5.169553;5.4286256;4.797054;5.062335;4.901184;6.544914;0;2.1731637;0.67025405;0;1018.1752;99.88731;0.26633334;174
31/12/2018;13:00;0.2;5.5035005;5.763153;5.689936;5.287104;5.668054;4.819002;5.1644154;4.913819;6.5445457;1;26.90855;0.9487352;0;1017.8737;99.93432;0.355;255
31/12/2018;13:30;0.0;5.655752;5.9776926;5.8857636;5.4142933;5.88521;4.8477335;5.2544503;4.91803;6.544914;0;3.6785228;1.2545294;0;1017.6471;99.92016;0.57766664;246
31/12/2018;14:00;0.0;5.9244304;6.2635245;6.1273246;5.576055;6.1288013;4.875667;5.3549237;4.9179482;6.545383;0;3.7807002;1.6106262;0;1017.57245;99.912544;0.72933334;253
31/12/2018;14:30;0.2;6.0947094;6.4186106;6.372233;5.723238;6.3909016;4.909064;5.469029;4.933597;6.5458508;0;4.018826;1.9583083;0;1017.5754;99.91479;0.48966667;228
31/12/2018;15:00;0.0;6.3138404;6.438518;6.5441437;5.812614;6.6015105;4.9439735;5.573693;4.9399476;6.545061;0;4.038259;2.2096395;0;1017.708;99.9093;0.41033334;223
31/12/2018;15:30;0.0;6.5403214;6.433197;6.631535;5.8697224;6.726925;4.981735;5.655537;4.9421864;6.5436125;0;3.8754694;2.3625364;0;1017.86285;99.90219;0.21866667;228
31/12/2018;16:00;0.0;6.538863;6.398134;6.6589985;5.9040394;6.780916;5.0202584;5.7175784;4.959087;6.544044;0;3.651931;21.32173;1;1017.8771;99.91764;0.27;255
